
# Surface 0 of 1 surfaces

# Curve title: ""Functions-of-two-variables_contourtmp1.dat""
# Contour 0, label:        3
-3.586  3.30889  2 
-3.55698  3.28198  2 
-3.485  3.21124  2 
-3.4523  3.18098  2 
-3.384  3.11389  2 
-3.34727  3.07998  2 
-3.283  3.01688  2 
-3.24183  2.97898  2 
-3.182  2.92028  2 
-3.13594  2.87798  2 
-3.081  2.82411  2 
-3.02952  2.77698  2 
-2.98  2.72846  2 
-2.9225  2.67598  2 
-2.87901  2.63339  2 
-2.81478  2.57498  2 
-2.77801  2.539  2 
-2.70627  2.47398  2 
-2.67701  2.44537  2 
-2.59682  2.37298  2 
-2.57601  2.35266  2 
-2.48627  2.27199  2 
-2.47501  2.261  2 
-2.37443  2.17099  2 
-2.37401  2.17058  2 
-2.27301  2.0807  2 
-2.25975  2.06999  2 
-2.17201  1.99234  2 
-2.14284  1.96899  2 
-2.07101  1.9058  2 
-2.02323  1.86799  2 
-1.97001  1.82148  2 
-1.9003  1.76699  2 
-1.86901  1.73985  2 
-1.7732  1.66599  2 
-1.76801  1.66152  2 
-1.66701  1.58506  2 
-1.63663  1.56499  2 
-1.56601  1.51253  2 
-1.49046  1.46399  2 
-1.46501  1.44547  2 
-1.36401  1.3829  2 
-1.32559  1.36299  2 
-1.26301  1.32587  2 
-1.16201  1.27663  2 
-1.12412  1.26199  2 
-1.06101  1.23374  2 
-0.96001  1.19925  2 
-0.85901  1.1746  2 
-0.76971  1.16099  2 
-0.75801  1.15888  2 
-0.65701  1.15088  2 
-0.55601  1.15194  2 
-0.457701  1.16099  2 
-0.45501  1.1612  2 
-0.35401  1.17537  2 
-0.253011  1.19481  2 
-0.152011  1.21851  2 
-0.0510108  1.24536  2 
 0.00782337  1.26199  2 
 0.0499891  1.27236  2 
 0.150989  1.2973  2 
 0.251989  1.32139  2 
 0.352989  1.34328  2 
 0.453989  1.36153  2 
 0.465472  1.36299  2 
 0.554989  1.37281  2 
 0.655988  1.37792  2 
 0.756988  1.37557  2 
 0.857988  1.36411  2 
 0.86315  1.36299  2 
 0.958988  1.3376  2 


# Contour 3, label:      1.5
 4.29198 -4.59942  1.5 
 4.38831 -4.697  1.5 
 4.39298 -4.70153  1.5 
 4.48823 -4.798  1.5 
 4.49398 -4.80357  1.5 
 4.58823 -4.899  1.5 
 4.59498 -4.90555  1.5 
 4.68828 -5  1.5 

 0.857988  1.24544  1.5 
 0.958988  1.20931  1.5 
 1.0467  1.16099  1.5 
 1.05999  1.15144  1.5 
 1.15144  1.05999  1.5 
 1.16099  1.0467  1.5 
 1.20931  0.958988  1.5 
 1.24544  0.857988  1.5 
 1.26199  0.773748  1.5 
 1.26463  0.756988  1.5 
 1.2699  0.655988  1.5 
 1.26623  0.554989  1.5 
 1.26199  0.515486  1.5 
 1.25427  0.453989  1.5 
 1.23525  0.352989  1.5 
 1.21195  0.251989  1.5 
 1.18613  0.150989  1.5 
 1.16099  0.0561721  1.5 
 1.15908  0.0499891  1.5 
 1.12795 -0.0510108  1.5 
 1.09927 -0.152011  1.5 
 1.07441 -0.253011  1.5 
 1.05999 -0.326027  1.5 
 1.05359 -0.35401  1.5 
 1.03749 -0.45501  1.5 
 1.02999 -0.55601  1.5 
 1.03206 -0.65701  1.5 
 1.04455 -0.75801  1.5 
 1.05999 -0.823216  1.5 
 1.06708 -0.85901  1.5 
 1.09778 -0.96001  1.5 
 1.13951 -1.06101  1.5 
 1.16099 -1.10115  1.5 
 1.18884 -1.16201  1.5 
 1.24628 -1.26301  1.5 
 1.26199 -1.28574  1.5 
 1.3089 -1.36401  1.5 
 1.36299 -1.44014  1.5 
 1.37846 -1.46501  1.5 
 1.4521 -1.56601  1.5 
 1.46399 -1.5801  1.5 
 1.52881 -1.66701  1.5 
 1.56499 -1.70946  1.5 
 1.60943 -1.76801  1.5 
 1.66599 -1.83376  1.5 
 1.69316 -1.86901  1.5 
 1.76699 -1.95413  1.5 
 1.7794 -1.97001  1.5 
 1.86765 -2.07101  1.5 
 1.86799 -2.07135  1.5 
 1.95661 -2.17201  1.5 
 1.96899 -2.18473  1.5 
 2.04717 -2.27301  1.5 
 2.06999 -2.29644  1.5 
 2.13906 -2.37401  1.5 
 2.17099 -2.40675  1.5 
 2.23206 -2.47501  1.5 
 2.27199 -2.51592  1.5 
 2.32601 -2.57601  1.5 
 2.37298 -2.6241  1.5 
 2.42074 -2.67701  1.5 
 2.47398 -2.73146  1.5 
 2.51616 -2.77801  1.5 
 2.57498 -2.83812  1.5 
 2.61217 -2.87901  1.5 
 2.67598 -2.94417  1.5 
 2.70869 -2.98  1.5 
 2.77698 -3.0497  1.5 
 2.80564 -3.081  1.5 
 2.87798 -3.15477  1.5 
 2.90298 -3.182  1.5 
 2.97898 -3.25946  1.5 
 3.00066 -3.283  1.5 
 3.07998 -3.36379  1.5 
 3.09864 -3.384  1.5 
 3.18098 -3.46783  1.5 
 3.19687 -3.485  1.5 
 3.28198 -3.57159  1.5 
 3.29535 -3.586  1.5 
 3.38298 -3.67512  1.5 
 3.39402 -3.687  1.5 
 3.48398 -3.77844  1.5 
 3.49289 -3.788  1.5 
 3.58498 -3.88157  1.5 
 3.59192 -3.889  1.5 
 3.68598 -3.98453  1.5 
 3.6911 -3.99  1.5 
 3.78698 -4.08734  1.5 
 3.79041 -4.091  1.5 
 3.88798 -4.19001  1.5 
 3.88985 -4.192  1.5 
 3.98898 -4.29256  1.5 
 3.9894 -4.293  1.5 
 4.089 -4.394  1.5 
 4.08998 -4.39495  1.5 
 4.18868 -4.495  1.5 
 4.19098 -4.49722  1.5 
 4.28845 -4.596  1.5 
 4.29198 -4.59942  1.5 

-5  4.68828  1.5 
-4.90555  4.59498  1.5 
-4.899  4.58823  1.5 
-4.80357  4.49398  1.5 
-4.798  4.48823  1.5 
-4.70153  4.39298  1.5 
-4.697  4.38831  1.5 
-4.59942  4.29198  1.5 
-4.596  4.28845  1.5 
-4.49722  4.19098  1.5 
-4.495  4.18868  1.5 
-4.39495  4.08998  1.5 
-4.394  4.089  1.5 
-4.293  3.9894  1.5 
-4.29256  3.98898  1.5 
-4.192  3.88985  1.5 
-4.19001  3.88798  1.5 
-4.091  3.79041  1.5 
-4.08734  3.78698  1.5 
-3.99  3.6911  1.5 
-3.98453  3.68598  1.5 
-3.889  3.59192  1.5 
-3.88157  3.58498  1.5 
-3.788  3.49289  1.5 
-3.77844  3.48398  1.5 
-3.687  3.39402  1.5 
-3.67512  3.38298  1.5 
-3.586  3.29535  1.5 
-3.57159  3.28198  1.5 
-3.485  3.19687  1.5 
-3.46783  3.18098  1.5 
-3.384  3.09864  1.5 
-3.36379  3.07998  1.5 
-3.283  3.00066  1.5 
-3.25946  2.97898  1.5 
-3.182  2.90298  1.5 
-3.15477  2.87798  1.5 
-3.081  2.80564  1.5 
-3.0497  2.77698  1.5 
-2.98  2.70869  1.5 
-2.94417  2.67598  1.5 
-2.87901  2.61217  1.5 
-2.83812  2.57498  1.5 
-2.77801  2.51616  1.5 
-2.73146  2.47398  1.5 
-2.67701  2.42074  1.5 
-2.6241  2.37298  1.5 
-2.57601  2.32601  1.5 
-2.51592  2.27199  1.5 
-2.47501  2.23206  1.5 
-2.40675  2.17099  1.5 
